"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\sean_\Desktop\FamilyApp\index.js", "JavaScript", 0, 24, 0, 0, 0, 6, 9, 39
"c:\Users\sean_\Desktop\FamilyApp\middleware\auth.js", "JavaScript", 0, 15, 0, 0, 0, 3, 2, 20
"c:\Users\sean_\Desktop\FamilyApp\models\Post.js", "JavaScript", 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\sean_\Desktop\FamilyApp\models\Profile.js", "JavaScript", 0, 52, 0, 0, 0, 0, 3, 55
"c:\Users\sean_\Desktop\FamilyApp\models\User.js", "JavaScript", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\sean_\Desktop\FamilyApp\package-lock.json", "JSON", 3682, 0, 0, 0, 0, 0, 1, 3683
"c:\Users\sean_\Desktop\FamilyApp\package.json", "JSON", 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\sean_\Desktop\FamilyApp\routes\api\auth.js", "JavaScript", 0, 64, 0, 0, 0, 14, 11, 89
"c:\Users\sean_\Desktop\FamilyApp\routes\api\posts.js", "JavaScript", 0, 167, 0, 0, 0, 28, 21, 216
"c:\Users\sean_\Desktop\FamilyApp\routes\api\profile.js", "JavaScript", 0, 116, 0, 0, 0, 32, 23, 171
"c:\Users\sean_\Desktop\FamilyApp\routes\api\users.js", "JavaScript", 0, 58, 0, 0, 0, 12, 11, 81
"Total", "-", 32765, 2358, 30, 454, 13, 158, 499, 36277
